departamento,provincia,anio,longitud,latitud,NDVI,SAVI,EVI,NDMI,precipitacion_mm,temperatura_c,altitud_m
Puno,Azángaro,2020.0,-69.85748806955459,-14.673980166092385,0.3160446,0.21433267,0.20826013,-0.08816121,789.21954,5.043348,4693.0
Puno,Azángaro,2020.0,-70.09105004342567,-15.16805357235812,-0.15207373,-0.004844866,-0.004240664,-0.041666668,586.3267,9.111691,3812.0
Puno,Azángaro,2020.0,-70.00121851501372,-15.16805357235812,-0.21929824,-0.007332812,-0.006580506,0.2027027,588.90295,9.3122,3812.0
Puno,Azángaro,2020.0,-70.18088157183762,-14.763811694504337,0.20881483,0.13364293,0.12708226,-0.20219935,662.2483,7.98188,4094.0
Puno,Azángaro,2020.0,-70.09105004342567,-14.584148637680432,0.2691234,0.1684922,0.1636867,-0.16587156,849.97766,3.3498538,4546.0
Puno,Azángaro,2020.0,-70.2347804888848,-15.033306279740193,0.22840963,0.15717688,0.14851865,-0.11672888,517.18744,8.323508,3896.0
Puno,Azángaro,2020.0,-70.36952778150273,-14.94347475132824,0.22595581,0.15793352,0.14736043,-0.088819355,610.1715,8.25038,3971.0
Puno,Azángaro,2020.0,-70.2347804888848,-14.988390515534217,0.18486108,0.11990351,0.113314524,-0.22805017,603.0673,8.323508,4131.0
Puno,Azángaro,2020.0,-69.94731959796654,-14.449401345062505,0.24344772,0.15532698,0.14914995,-0.17497312,855.78394,4.3331428,4339.0
Puno,Azángaro,2020.0,-70.09105004342567,-14.449401345062505,0.25513858,0.15103514,0.13892098,-0.21571885,886.67645,5.6140914,4259.0
Puno,Azángaro,2020.0,-70.27969625309076,-14.404485580856528,0.23428254,0.14723428,0.1389986,-0.13085938,801.7735,5.0308275,4206.0
Puno,Azángaro,2020.0,-70.04613427921969,-15.347716629182026,0.17149052,0.13240646,0.1276151,-0.06289593,553.5921,9.484016,3830.0
Puno,Azángaro,2020.0,-70.2347804888848,-14.94347475132824,0.20935991,0.13767573,0.13052182,-0.18673366,608.224,7.831219,4190.0
Puno,Azángaro,2020.0,-70.04613427921969,-14.49431710926848,0.28375039,0.17137907,0.1646896,-0.18692057,811.1407,4.197191,4325.0
Puno,Azángaro,2020.0,-70.09105004342567,-14.808727458710312,0.3510504,0.25681353,0.241946,-0.0052590873,631.55304,7.8293405,3912.0
Puno,Azángaro,2020.0,-70.04613427921969,-15.123137808152146,-0.12107623,-0.0039616553,-0.0035159911,0.16666667,601.02454,8.169278,3812.0
Puno,Azángaro,2020.0,-70.04613427921969,-14.584148637680432,0.21802253,0.14524736,0.13959453,-0.14743759,890.2012,3.6367795,4674.0
Puno,Azángaro,2020.0,-70.32461201729674,-14.853643222916288,0.21597707,0.14309376,0.13770464,-0.15813424,620.67664,8.0436535,4074.0
Puno,Azángaro,2020.0,-70.41444354570869,-14.853643222916288,0.26318458,0.17408319,0.1644591,-0.0840228,630.30676,8.25038,4026.0
Puno,Azángaro,2020.0,-69.90240383376057,-14.673980166092385,0.19795452,0.12658481,0.121335596,-0.18844014,808.6562,5.043348,4540.0
Puno,Azángaro,2020.0,-70.00121851501372,-14.71889593029836,0.26180807,0.189844,0.17960297,-0.07489815,757.70917,5.794626,4032.0
Puno,Azángaro,2020.0,-70.13596580763165,-14.71889593029836,0.2606859,0.17436835,0.16144112,-0.1506425,707.1821,6.1312127,4037.0
Puno,Azángaro,2020.0,-70.09105004342567,-14.988390515534217,0.27170017,0.19533975,0.18605863,-0.056119982,607.466,7.549707,3893.0
Puno,Azángaro,2020.0,-70.2257973360436,-14.629064401886408,0.26074442,0.17538528,0.16509448,-0.10536974,733.5527,4.405688,4167.0
Puno,Azángaro,2020.0,-69.94731959796654,-14.49431710926848,0.26908728,0.17991354,0.17326137,-0.12492498,801.30963,4.468432,4326.0
Puno,Azángaro,2020.0,-70.27969625309076,-15.07822204394617,0.19730061,0.13289256,0.12643497,-0.1459081,544.9809,8.571432,3908.0
Puno,Azángaro,2020.0,-70.04613427921969,-15.07822204394617,0.20198764,0.1293133,0.12910536,-0.17382073,569.71985,8.169278,4133.0
Puno,Azángaro,2020.0,-69.90240383376057,-14.853643222916288,0.2286062,0.145801,0.1398006,-0.16007394,652.49725,7.0756965,4276.0
Puno,Azángaro,2020.0,-70.18088157183762,-14.808727458710312,0.2820319,0.19825357,0.19313994,-0.081828766,624.4941,7.98188,3986.0
Puno,Azángaro,2020.0,-69.94731959796654,-14.629064401886408,0.28477156,0.18825503,0.18496539,-0.11270815,820.63446,3.8731284,4384.0
Puno,Azángaro,2020.0,-70.18986472467881,-15.212969336564097,0.17498896,0.12471132,0.1150845,-0.07873538,579.2626,8.73243,3844.0
Puno,Azángaro,2020.0,-70.2347804888848,-14.898558987122264,0.1847958,0.11806074,0.10973618,-0.1504784,624.167,7.831219,4063.0
Puno,Azángaro,2020.0,-70.13596580763165,-14.853643222916288,0.21303514,0.1402805,0.13056487,-0.16322123,597.9313,7.285894,3929.0
Puno,Azángaro,2020.0,-70.13596580763165,-15.07822204394617,0.18817338,0.12529196,0.120354496,-0.13844477,526.52734,8.708972,4313.0
Puno,Azángaro,2020.0,-70.18088157183762,-14.539232873474456,0.29335657,0.1867878,0.17217723,-0.12545004,836.247,4.0579424,4783.0
Puno,Azángaro,2020.0,-70.32461201729674,-15.07822204394617,0.18235718,0.12974742,0.12248954,-0.14464383,547.9594,8.571432,3915.0
Puno,Azángaro,2020.0,-70.04613427921969,-14.808727458710312,0.31325787,0.23371533,0.21858078,-0.029134918,653.73566,7.4995213,4006.0
Puno,Azángaro,2020.0,-70.27969625309076,-14.763811694504337,0.3996093,0.28744665,0.28638542,0.020011073,642.16895,8.041728,3880.0
Puno,Azángaro,2020.0,-69.95630275080774,-14.763811694504337,0.28185412,0.20147613,0.20283623,-0.03434009,712.898,7.4995213,3959.0
Puno,Azángaro,2020.0,-70.14494896047285,-15.30280086497605,0.2411034,0.17617191,0.17396985,-0.053628772,522.05566,8.883738,3837.0
Puno,Azángaro,2020.0,-70.18088157183762,-14.49431710926848,0.2588449,0.1618856,0.15288171,-0.17883694,775.82153,4.0579424,4614.0
Puno,Azángaro,2020.0,-70.04613427921969,-14.988390515534217,0.23496391,0.15084086,0.14496817,-0.18604651,608.6344,6.668631,4312.0
Puno,Azángaro,2020.0,-70.32461201729674,-14.673980166092385,0.2718971,0.19295819,0.18365705,-0.08868941,686.7752,7.568696,3952.0
Puno,Azángaro,2020.0,-70.04613427921969,-14.71889593029836,0.2357477,0.15618894,0.14621258,-0.17751977,757.70917,5.794626,4080.0
Puno,Azángaro,2020.0,-70.13596580763165,-14.629064401886408,0.27736473,0.18161738,0.17002314,-0.09877967,769.65686,3.3498538,4690.0
Puno,Azángaro,2020.0,-70.41444354570869,-14.898558987122264,0.25740227,0.1914883,0.19322418,-0.045959283,630.30676,8.25038,3901.0
Puno,Azángaro,2020.0,-70.14494896047285,-15.347716629182026,0.19139035,0.14576155,0.14286128,-0.09193024,522.05566,8.883738,3836.0
Puno,Azángaro,2020.0,-70.27969625309076,-14.49431710926848,0.22006491,0.13898474,0.12884153,-0.20554422,754.1889,5.0030375,4452.0
